Angle,Torque
1.0,5.743932923532238
2.0,6.211547881271503
3.0,6.686039343574858
4.0,7.167509944064693
5.0,7.656062316363395
6.0,8.151799094093356
7.0,8.654822910876964
8.0,9.16523640033661
9.0,9.683142196094682
10.0,10.208642931773568
11.0,10.741841240995662
12.0,11.282839757383348
13.0,11.83174111455902
14.0,12.388647946145065
15.0,12.953662885763874
16.0,13.526888567037835
17.0,14.108427623589337
18.0,14.698382689040772
19.0,15.296856397014528
20.0,15.903951381132991
21.0,16.51977027501856
22.0,17.144415712293615
23.0,17.777990326580547
24.0,18.420596751501748
25.0,19.072337620679605
26.0,19.733315567736156
27.0,20.41531645110836
28.0,21.109323314230952
29.0,21.815817504359824
30.0,22.533587216018056
31.0,23.260393417744016
32.0,23.993590047339236
33.0,24.73222462569887
34.0,25.475276178395408
35.0,26.228382726675083
36.0,26.993411560850245
37.0,27.76936936283895
38.0,28.55523744592123
39.0,29.349406826881147
40.0,30.151346666968106
41.0,30.961779768510592
42.0,31.780023080929883
43.0,32.605916895059295
44.0,33.43872805726001
45.0,34.27723257604864
46.0,35.11913542775534
47.0,35.96524702711205
48.0,36.81256143966951
49.0,37.65802228815983
50.0,38.498608213095835
51.0,39.33541982830794
52.0,40.173464676435856
53.0,41.01042460757811
54.0,41.84402027225905
55.0,42.67209658202823
56.0,43.49681050533339
57.0,44.31671630161414
58.0,45.12882217037672
59.0,45.93028150127889
60.0,46.71842528709509
61.0,47.49063847425673
62.0,48.24369392285124
63.0,48.97513730775236
64.0,49.682712428366635
65.0,50.367776755984465
66.0,51.03400407710157
67.0,51.67899839180858
68.0,52.300639969194236
69.0,52.90269444381426
70.0,53.48678529524918
71.0,54.049303585584155
72.0,54.582102403224404
73.0,55.081103966113695
74.0,55.549541144758734
75.0,55.98731160388578
76.0,56.401029740196904
77.0,56.788609005865425
78.0,57.14463480486426
79.0,57.46676767310589
80.0,57.748678679017694
81.0,57.98745387211378
82.0,58.184130897640976
83.0,58.34086248839047
84.0,58.46697773448892
85.0,58.56633368819115
86.0,58.636069265440916
87.0,58.67098962603799
88.0,58.665173050351115
89.0,58.6190268635745
90.0,58.53398634170539
91.0,58.41255799678251
92.0,58.26097218509934
93.0,58.07973938254437
94.0,57.869021880449196
95.0,57.62841935264562
96.0,57.35356596978305
97.0,57.04404373824893
98.0,56.69890013363729
99.0,56.32947606967208
100.0,55.93954596933007
101.0,55.52958787288395
102.0,55.09481834243027
103.0,54.63309766925535
104.0,54.14585949851536
105.0,53.631661238079126
106.0,53.0931782826328
107.0,52.528172574689265
108.0,51.93712788511532
109.0,51.32209420371825
110.0,50.68528175043507
111.0,50.029146435931914
112.0,49.35629862510948
113.0,48.67640791410812
114.0,47.99105329678951
115.0,47.302053523295214
116.0,46.60310403406558
117.0,45.890159437358975
118.0,45.16585544406357
119.0,44.4330179619009
120.0,43.687576434346504
121.0,42.92585098190138
122.0,42.14867537203481
123.0,41.36161317357054
124.0,40.56896477836341
125.0,39.77370103513028
126.0,38.97885449273975
127.0,38.179503861921404
128.0,37.37198858411219
129.0,36.55786796982875
130.0,35.7386010328653
131.0,34.92362646945506
132.0,34.11888554667085
133.0,33.3264492060969
134.0,32.54844329429824
135.0,31.773653355681294
136.0,30.995926317696302
137.0,30.215766608529634
138.0,29.43529278126289
139.0,28.66139973725285
140.0,27.89849280844361
141.0,27.14765736483221
142.0,26.40848279689184
143.0,25.675668531563083
144.0,24.94703069152142
145.0,24.220518969851636
146.0,23.498226981358137
147.0,22.788242655552352
148.0,22.094309270877744
149.0,21.42014754581037
150.0,20.756004258306707
151.0,20.097385739200966
152.0,19.442610591406005
153.0,18.788913361570692
154.0,18.13633674601882
155.0,17.48545201476784
156.0,16.840555618473488
157.0,16.20266341253452
158.0,15.572079141090104
159.0,14.949512967450852
160.0,14.335971256426829
161.0,13.732405807605803
162.0,13.139595981788693
